SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
BUS,1218,380,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Social Change in Historical Perspectives,"BUS 380 - LAW, TECHNOLOGY AND BUSINESS","This course explores the twenty-first century business, work and legal environments from a variety of perspectives. The course introduces and traces the main technological, social, environmental and economic drivers that have created the Second Digital Age. It then focuses on the corporation of the twenty-first century and changing business models. The third part of the course focuses on the future of work in an age of automation and demographic changes. The fourth part of the course looks at how laws and policy are affected by technological change and are shaping the new business environment.",1,,Fall
EFN,1218,299,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Race & Ethnicity","EFN 299 - SCHOOLS, COMMUNITIES & CULTURE","This course examines the nature and the complex interrelationship between schools and communities in the rapidly changing diverse culture of the United States. Students learn how family and school values, belief systems, and attitudes intersect and subsequently result in inequitable schooling opportunities and student academic achievement.  Students develop an informed discourse that enables them to analyze classroom dynamics through the use of social theory as they examine case studies, ethnographies and complete a field based observation study. Through these experiences students are expected to reflect on their own socialization and begin to shape an understanding of how social structures have impacted their own educational experiences as well as those of others.  Students must register for a fifteen (15) hour field practicum that is taken concurrently with this course.  This course is only offered to students who have attained sophomore status. Students must earn a minimum of C+ to enroll in SED 399.",1,"Reserved for Sophomores & Juniors, or by permission of instructor. [RQ5167]",Fall and Spring
MUS,1218,355,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Gender|Literary, Visual & Performing Arts","MUS 355 - GENDER, SEXUALITY, & POP MUSIC IN THE 1980'S","The focus of this course is on the ways in which select music artists who were in the popular spotlight in the 1980s constructed, conformed to, problematized, critiqued, and/or subverted traditional categories of gender and sexuality. Major themes include the presentation (and representation) of masculinities, misogyny, compulsory heterosexuality, articulations of feminism(s), queer(ing) strategies, and the intersection of race, gender, and sexuality. Our primary texts will be album releases, music videos, and live performance footage from the 1980s, drawn from an array of artists: Pat Benatar, Bon Jovi, the Eurythmics (featuring Annie Lennox), the Go-Go's, Whitney Houston, Michael Jackson, Cyndi Lauper, L.L. Cool J, Madonna, the Pet Shop Boys, Poison, Prince, Queen Latifah, Salt 'N Pepa, Bruce Springsteen, and Tina Turner. These sources will be supported by academic, critical, and popular writings that enrich understanding of the musical, historical, socio-cultural, and political contexts of 80s popular music.",1,PRE Any previous Liberal Learning Gender approved course is a prerequisite,Occasionally
MUS,1218,358,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Literary, Visual & Performing Arts|Race & Ethnicity","MUS 358 - SOCIAL JUSTICE, MUSIC, EDUCATION","This course will explore how music of various genres (including hip-hop, pop, folk, rock, classical, jazz, and others) can be used to address issues of social justice in contemporary global society. Students will consider how music reflects and inspires racial/ethnic expression and conveys meaning and story about experiences with race and racism. Students will also explore rationales for teaching social justice through music, develop and apply skills needed to lead discussions about social justice issues, and will design projects that use music as the impetus for dialogue about social justice topics.",1,,Occasionally
PHY,1218,103,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,"PHY 103 - PHYSICAL, EARTH, AND SPACE SCIENCE","This course is an introduction to physical, earth, and/or space sciences.  Topics may include: motion, forces, energy, the earth, environment, weather, the solar system, stars, galaxies, and the universe.  Concepts are reinforced with a variety of experiments and demonstrations. This course is designed for elementary education majors to help them meet New Jersey state standards.  Open to all majors in summer sessions.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
SOC,1218,314,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives","SOC 314 - FOOD, CULTURE AND SOCIETY","Food is among the most essential elements of daily life, yet it can also be one of the most revealing constituents of social processes and social structure.  This course will probe the many dimensions and contexts of food. The primary focus will be on its interactive and relational aspects: its role in establishing our identity, preserving our memories, nurturing and sustaining our social connections, as well as potentially dividing us.",1,,Occasionally
WGS,1218,167,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Social Change in Historical Perspectives,"WGS 167 - GENDER, US HISTORY AND FILM","More than any other medium, the motion pictures fostered new ideals and images of modern womanhood and manhood in the United States.  Film also  interpreted current and historical events and forged historical interpretations and quite a few historical myths or ""truisms"".  Through the twentieth century, gender representations on the screen bore a complex relationship to the social, economic, and political transformations marking the lives and consciousness of American men and women.  This course explores the history of American gender in the 20th century through film.  It treats the motion pictures as a primary source that, juxtaposed with other  kinds of historical evidence, opens a window onto gendered work, leisure, sexuality, family life, and politics.  We will view how Hollywood has shaped not only our historical perceptions,but also our gendered expectations.",1,,Occasionally
WGS,1218,200,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Gender","WGS 200 - INTRO TO WOMENS, GENDER, & SEXUALITY STUDIES","The preliminary course to the interdisciplinary field of Women's and Gender Studies.  It will provide students with an introduction to the literature and the historical evolution of the discipline, as well as an understanding of how scholars and students in the field analyze women, gender, and feminist theories.  It will use an interdisciplinary approach to do this.  This introductory course encourages students to rethink and reevaluate much of what they have experienced and learned and to gain the critical vocabulary and analytic skills to question the gendered world in which they live.",1,,Fall and Spring
WGS,1218,210,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Gender","WGS 210 - WOM & HEALTH: POWER, POL & CHNG","This course concerns the domain of women's bodies and the on-going struggle for sovereignty therein.  Students will examine how in addition to pathophysiology, women's health is impacted by social constructs, specifically history, politics, economics, and research.  As a result of this exploration, students will enhance their ability to care for themselves and for others, to use and understand power and empowerment of self and others, and to advocate and to be an activist for themselves and for others.",1,,Spring
WGS,1218,307,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Gender|Literary, Visual & Performing Arts","WGS 307 - GENDER, SEXUALITY & POP MUSIC IN THE 1980'S","The focus of this course is on the ways in which select music artists who were in the popular spotlight in the 1980s constructed, conformed to, problematized, critiqued, and/or subverted traditional categories of gender and sexuality. Major themes include the presentation (and representation) of masculinities, misogyny, compulsory heterosexuality, articulations of feminism(s), queer(ing) strategies, and the intersection of race, gender, and sexuality. Our primary texts will be album releases, music videos, and live performance footage from the 1980s, drawn from an array of artists: Pat Benatar, Bon Jovi, the Eurythmics (featuring Annie Lennox), the Go-Go's, Whitney Houston, Michael Jackson, Cyndi Lauper, L.L. Cool J, Madonna, the Pet Shop Boys, Poison, Prince, Queen Latifah, Salt 'N Pepa, Bruce Springsteen, and Tina Turner. These sources will be supported by academic, critical, and popular writings that enrich understanding of the musical, historical, socio-cultural, and political contexts of 80s popular music.",1,PRE One WGS course [RQ5007],Occasionally
