SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES_CIV,CLASS_ATTRIBUTE_VALUES_DOM,CLASS_ATTRIBUTE_VALUES_INT,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
AAS,Winter 2022,252,UGRD,Liberal Learning Civic Resp.,Gender|Race & Ethnicity,,,"AAS 252 - GENDER, RACE & CULTURAL PRODUCTION",This course provides an overview of the various performance genre made popular in the late nineteenth-early twentieth century by African Americans. The course will make explicit connections between black diasporic cultural production and intellectualism during the period known as the Harlem Renaissance.,1,,Occasionally
WGS,Winter 2022,252,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Behavioral, Social or Cultural Perspectives",,"WGS 252 - GENDER, RACE & CULTURAL PRODUCTION",This course provides an overview of the various performance genre made popular in the late nineteenth-early twentieth century by African Americans. The course will make explicit connections between black diasporic cultural production and intellectualism during the period known as the Harlem Renaissance.,1,,Occasionally
AAS,Winter 2022,240,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts|VPA for School of Education",,AAS 240 - HISTORY OF JAZZ,"An introduction to jazz music through an examination of its content, history and cultural legacy. The course begins with the emergence of jazz out of early African-American musical forms, and considers the profound connection between the African-American experience and the development of jazz. It is an examination of how jazz evolved through artistic and technological innovations as well as through cultural, commercial and political forces. The course engages students in critical listening and research-based writing skills.",1,,Fall and Spring
AAS,Winter 2022,338,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,"Literary, Visual & Performing Arts",,AAS 338 - AFRICAN LITERATURE,"This course focuses on literature produced in Africa from the era of European imperialism through the present. LIT/AAS 338 will focus on specific topics, regions, nations, or traditions within African literature. This course will survey African writings in English against a backdrop of colonialism, neocolonialism, and globalization.",10-Jan,,Occasionally
AAS,Winter 2022,353,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,AAS 353 - ADVANCED CRIMINOLOGY: RACE & CRIME,"A critical examination of the correlation between race and crime in America.  The course will focus on four major areas: race and the law, race and criminological theory, race and violent crime, and myths and facts about race and crime.  Through critical examination of readings and official statistics, students will come to understand the complexity of the relationship between race and crime within the American Criminal Justice System and broader social context.",1,,Fall and Spring
ANT,Winter 2022,171,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives|Literary, Visual & Performing Arts",,ANT 171 - CONTEMPORARY JAPAN,"This course is a survey of social and cultural trends in contemporary Japan. Our main texts will be scholarly readings from the social sciences, but we will include films as another lens through which to consider significant phenomena, institutions, and directions in Japan today. We will investigate and discuss topics such as gender and family, language, race and ethnicity, religion, sports, food, and popular culture. Throughout the course, students will be asked to engage critically with course materials and, in so doing, to develop a more complex and nuanced perspective on social and cultural trends in contemporary Japan.",1,,Occasionally
BIO,Winter 2022,141,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,BIO 141 - PRIN HUM ANATOMY & PHYSIOLOGY I,Designed to meet the needs of students who wish to achieve an understanding of the structure and function of the human body. The concept of homeostasis will be emphasized. Includes a laboratory component that uses the cat as the dissection specimen. Opportunities for collecting and analyzing data are provided.,1,Reserved fpr Nursing Students. [RQ#6077],Fall
CRI,Winter 2022,100,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,CRI 100 - INTRODUCTION TO CRIMINOLOGY,"Students will explore the historic need in societies to shape and control the behavior of their members so that they conform to established group norms. The course will examine the complex interaction between factors such as culture, law, power and equity that contribute to the maintenance of social order.  It will address the development of legal systems from the social science perspectives; investigate the nature of normative social control (sociological theory relative to conformity, conflict and power); and explore, in both a historical and contemporary vein, the development and maturation of formal justice systems (enforcement, adjudication and corrections) which act coercively against rule violators.",1,,Fall and Spring
CRI,Winter 2022,205,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,CRI 205 - CRIMINOLOGY,"This course provides a general introduction to the study of criminal behavior from an interdisciplinary perspective.  The history of criminology as a discipline will be examined. Criminological theories of crime and criminality from classical theories to modern developmental theories will be carefully examined. Students will learn to review and interpret various data sources from the Uniform Crime Reports, the National Crime Victimization Survey, and self-reports.",1,,Fall and Spring
CRI,Winter 2022,352,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,CRI 352 - ADV CRIMINOLOGY: RACE AND CRIME,"This course is a critical examination of the linkage between race and crime in America.  The course will focus on four major areas: race and the law, race and criminological theory, race and violent crime, and myths and facts about race and crime.  Through critical examination of readings and official statistics, students will come to understand the complexity of the relationship between race and crime within the American Criminal Justice System and broader social context.",1,,Fall and Spring
ECE,Winter 2022,102,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,ECE 102 - MULTICULTURAL CHILDREN'S LITERATURE,"Explores the use of children's literature in literacy instruction as a vehicle to help children learn about themselves and their place in the world. Students develop skills in selecting and critiquing various genres, as well as how to incorporate children's literature in the classroom in a developmentally appropriate manner.  Through this course, students will be exposed to a variety of award winning and multicultural literature.",1,,Fall and Spring
ECO,Winter 2022,101,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ECO 101 - PRINCIPLES OF MICROECONOMICS,An introduction to the analysis of price determination in product and resource markets under varying market structures in a capitalistic system.  A research paper is required.,1,"MAT 095 or MAT 096 or MAT 119 or MAT 120 or MAT 125 or MAT 127, or an SAT math score of 550 or better or an ACT score of 24 or better, is a prerequisite. [RQ5172]",Fall and Spring
ECO,Winter 2022,102,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,ECO 102 - PRINCIPLES OF MACROECONOMICS,"A introduction to the measurement and analysis of the aggregate level of economic activity including unemployment, interest rates, inflation, exchange rates and economic growth. Government fiscal and monetary policies are examined along with international economic interactions.",1,"MAT 095 or MAT 096 or MAT 119 or MAT 120 or MAT 125 or MAT 127, or an SAT math score of 550 or better or an ACT score of 24 or better, is a prerequisite. [RQ5172]",Fall and Spring
FIN,Winter 2022,335,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,FIN 335 - CAPITAL FLOWS & CURRENCY CRISIS,"This course examines the economic and financial forces that influence open economies.  Focuses on the causes of currency and banking crises and on the consequences of these crises for domestic economic growth and examines thoroughly the tools governments, central banks, and the International Monetary Fund use to manage balance of payments problems.  The course will provide students with a framework for analyzing international monetary policies and problems.",1,ECO 102 is a prerequisite [RQ287],"Fall, Spring and Summer"
HES,Winter 2022,160,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,HES 160 - CURRENT HEALTH & WELLNESS ISSUES,"This course is designed so that students learn to explore wellness as an active choice based on understanding of the science of health/wellness and the statistical study of risk factors for mortality and morbidity.  Students will develop this understanding through an investigation of lifestyle issues facing college students.  They will learn how to assess their lifestyles, interpret indicators and trends, and evaluate choices using comprehensive health assessments.",1,,Fall and Spring
HIS,Winter 2022,120,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,HIS 120 - TOPICS: MODERN EUROPE,Focuses on differing topics of historical significance having to do with Early Modern or Modern European history. This course may be repeated for credit when the topic changes.,1,,Fall and Spring
HIS,Winter 2022,165,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,HIS 165 - TOPICS: NORTH AMERICA/US,Focuses on differing topics of historical significance having to do with North America and the United States.  This course may be repeated for credit when the topic changes.  May fulfill departmental distribution requirements.,1,,Fall and Spring
HIS,Winter 2022,177,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,Social Change in Historical Perspectives,,HIS 177 - 20TH CENTURY US,"This course offers a concise overview of the United States in the 20th century.  It examines the social and economic forces that define America culture and politics, as well as the nation's shift from a Eurocentric focus to globalism.",1,,Fall and Spring
HIS,Winter 2022,349,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,Social Change in Historical Perspectives,,HIS 349 - THE SOVIET UNION 1917-1991,"This course traces the history of the Soviet Union from last years of the old tsarist regime and the developments that led to the Russian Revolutions of 1917, through the Russian Civil War, the Stalin era and World War II, the Cold War, to the collapse of the USSR in 1991.",1,,Spring
HIS,Winter 2022,354,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,Social Change in Historical Perspectives,,HIS 354 - SOUTH AFRICAN HISTORY,"This survey course explores the politics of culture in colonial-era and apartheid South Africa. It begins by studying the legal, religious, sexual and political history of colonialism, then delves into the history of African popular culture.  How miners, beer brewers, women, musicians, gangsters, and journalists created cultures of resistance is an enduring theme.  In the second half of the semester, students will create research papers about topics in South African history.",1,,Fall
INT,Winter 2022,250,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,INT 250 - INTERNATIONAL STUDY TOUR,"This course will focus on politics, economics and society in another region of the world; students will attend pre-and post-travel sessions on campus and travel.",1,,
JPN,Winter 2022,171,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,JPN 171 - CONTEMPORARY JAPAN,"This course is a survey of social and cultural trends in contemporary Japan. Our main texts will be scholarly readings from the social sciences, but we will include films as another lens through which to consider significant phenomena, institutions, and directions in Japan today. We will investigate and discuss topics such as gender and family, language, race and ethnicity, religion, sports, food, and popular culture. Throughout the course, students will be asked to engage critically with course materials and, in so doing, to develop a more complex and nuanced perspective on social and cultural trends in contemporary Japan.",1,,Occasionally
LIT,Winter 2022,316,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender|Global,"Literary, Visual & Performing Arts",Writing Intensive,LIT 316 - GLOBAL WOMEN WRITERS,"This course will explore various literatures from around the world, encouraging students to examine the politics of gender, culture, and nation as well as the intersections of those systems of power.  In exploring everything from arranged marriages to women in war, Global Women Writers will provide students -- especially those students who have spent much of their lives within the borders of the U.S. -- with one of the most challenging and rewarding courses of their college career.  Common themes include feminist politics, post- and neo-colonialisms, reproductive rights, translation, globalization, and activism.",1,,Fall and Spring
LIT,Winter 2022,334,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender|Race & Ethnicity,"Literary, Visual & Performing Arts",Writing Intensive,LIT 334 - LIT BY LATINAS & LATIN AM WOMEN,"A comparative study of Latina and Latin-American women's literature in English.  Open to a wide range of literary traditions, nations, time periods, and genres, including those specific to non-Western and post-Colonial cultures.  The focus varies by semester.",1,,Occasionally
LIT,Winter 2022,338,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,"Literary, Visual & Performing Arts",,LIT 338 - AFRICAN LITERATURE,"This course focuses on literature produced in Africa from the era of European imperialism through the present. LIT /AAS 338 will focus on specific topics, regions, nations, or traditions within African literature. This course will survey African writings in English against a backdrop of colonialism, neocolonialism, and globalization.  For English majors, this class meets LH and World.",1,,Occasionally
LIT,Winter 2022,367,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,LIT 367 - BRITISH THEATRE,"The course meets in the United Kingdom during the January term. Students will examine six to eight British plays both in performance and as texts and will tour sites and institutions important to British literary history.  For English majors, this class meets LH and British.",1,,Occasionally
LIT,Winter 2022,374,UGRD,Liberal Learning Domains|Writing Intensive,,"Literary, Visual & Performing Arts",Writing Intensive,LIT 374 - AMERICAN LITERATURE TO 1800,"This course is designed to provide students with the opportunity to acquire a broad-based, foundational knowledge and understanding of early American literature.  Emphasis will be placed on formulating a coherent understanding of the texts, contexts, concerns, and problematics which influenced American literature before 1865 and which continue to structure interpretations of the period.   For English majors, this class meets LH and American.",1,,Course is offered once a year.
MAT,Winter 2022,105,UGRD,Liberal Learning Domains,,Quantitative Reasoning,,MAT 105 - MATH STRUC & ALGORITHMS FOR ED I,"This course concerns the development of number systems, algebraic structures, and algorithms. The student will be required to reason mathematically, solve problems, and communicate mathematics effectively at different levels of formality, using a variety of representations of mathematical concepts and procedures. Physical materials and models will be used to explore fundamental properties of number systems, to model algorithms, and to explore selected algebraic structures. This course is especially appropriate for those students preparing to be elementary, early childhood, deaf and hard of hearing, or special education teachers.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
MGT,Winter 2022,310,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,MGT 310 - CROSS-CULTURAL MANAGEMENT,"Integrated overview of the role of culture in conducting global business and the management issues influenced by differences in national and sub-national cultures.  Addresses how cultural proclivities inform employee motivation, organizational leadership, inter-personal communication, work-place conflicts and conflict resolution, and decision-making processes; how employees and managers can prepare for culture shock; and how firms can create a global mindset among their employees.",1,MGT 201 or PSY 267 are prerequisites [RQ293],Fall and Spring
MUS,Winter 2022,245,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts|VPA for School of Education",,MUS 245 - HISTORY OF JAZZ,"An introduction to jazz music through an examination of its content, history and cultural legacy. The course begins with the emergence of jazz out of early African-American musical forms, and considers the profound connection between the African-American experience and the development of jazz. It is an examination of how jazz evolved through artistic and technological innovations as well as through cultural, commercial and political forces. The course engages students in critical listening and research-based writing skills.",1,,Fall and Spring
